latitude,longitude,elevation_m
33.05,35.09,0.0
33.05,35.095,0.0
33.05,35.1,0.0
33.05,35.105,5.0
33.05,35.11,8.0
33.05,35.115,11.0
33.05,35.12,13.0
33.05,35.125,21.0
33.05,35.13,28.0
33.05,35.135,33.0
33.05,35.14,39.0
33.05,35.145,62.0
33.05,35.15,75.0
33.05,35.155,71.0
33.05,35.16,84.0
33.05,35.165,87.0
33.05,35.17,140.0
33.05,35.175,149.0
33.05,35.18,164.0
33.05,35.185,166.0
33.05,35.19,204.0
33.05,35.195,223.0
33.05,35.2,232.0
33.05,35.205,246.0
33.05,35.21,239.0
33.05,35.215,252.0
33.05,35.22,290.0
33.05,35.225,326.0
33.05,35.23,330.0
33.05,35.235,284.0
33.05,35.24,235.0
33.05,35.245,393.0
33.05,35.25,405.0
33.05,35.255,428.0
33.05,35.26,462.0
33.05,35.265,501.0
33.05,35.27,419.0
33.05,35.275,470.0
33.05,35.28,540.0
33.05,35.285,510.0
33.05,35.29,544.0
33.05,35.295,594.0
33.05,35.3,593.0
33.05,35.305,605.0
33.05,35.31,624.0
33.05,35.315,614.0
33.05,35.32,577.0
33.05,35.325,595.0
33.05,35.33,578.0
33.05,35.335,596.0
33.05,35.34,617.0
33.05,35.345,697.0
33.05,35.35,666.0
33.05,35.355,733.0
33.05,35.36,764.0
33.05,35.365,744.0
33.05,35.37,774.0
33.05,35.375,721.0
33.05,35.38,689.0
33.05,35.385,711.0
33.05,35.39,683.0
33.05,35.395,665.0
33.05,35.4,751.0
33.05,35.405,754.0
33.05,35.41,754.0
33.05,35.415,726.0
33.05,35.42,701.0
33.05,35.425,689.0
33.05,35.43,720.0
33.05,35.435,603.0
33.05,35.44,547.0
33.05,35.445,688.0
33.05,35.45,625.0
33.05,35.455,642.0
33.05,35.46,607.0
33.05,35.465,639.0
33.05,35.47,611.0
33.05,35.475,637.0
33.05,35.48,616.0
33.05,35.485,665.0
33.05,35.49,681.0
33.05,35.495,677.0
33.05,35.5,680.0
33.05,35.505,666.0
33.05,35.51,652.0
33.05,35.515,538.0
